"Timestamp","What is your favorite JVM programming language?","Years of experience in building software","What best describes the source of your knowledge about OSGi?","What would you primarily use OSGi for?","Think of a project where OSGi could add value but wasn't/wouldn't be used! What was/would be used instead of OSGi?"
8/28/2016 13:55:18,"Java","between 10 and 20 years","I use OSGi on a day to day basis","To intorduce and encourage good programming practices, To make my application extendable via plug-ins, To be able to feely customize my application","Microservices"
8/28/2016 18:31:54,"Java","between 5 and 10 years","I've experimented with OSGi in my spare time or used it in a private project","I would never use OSGi","Spring (or another DI framework)"
8/28/2016 18:33:42,"Java","between 10 and 20 years","I've experimented with OSGi in my spare time or used it in a private project","I would never use OSGi","Nothing! The value OSGi adds is not worth the effort"
8/28/2016 18:34:45,"Groovy","between 10 and 20 years","I use OSGi on a day to day basis","To be able to replace a jar file at runtime without restart, As a dependency injection framework (like Spring), To intorduce and encourage good programming practices","not sure I understand the question"
8/28/2016 18:34:49,"Kotlin","between 10 and 20 years","I've spent some time learning about OSGi","I would never use OSGi","Nothing! The value OSGi adds is not worth the effort"
8/28/2016 18:39:08,"Java","between 5 and 10 years","I use OSGi on a day to day basis","To be able to replace a jar file at runtime without restart, As a dependency injection framework (like Spring), To build micoservices based solutions in Java","Custom module system - none of the above provides for the same as OSGi (even microservices)"
8/28/2016 18:41:15,"Scala","between 10 and 20 years","I use OSGi on a day to day basis","To build micoservices based solutions in Java, To build IoT solutions in Java, To make my application extendable via plug-ins","Microservices"
8/28/2016 18:46:45,"Scala","between 10 and 20 years","I've spent some time learning about OSGi","I would never use OSGi","Nothing! The value OSGi adds is not worth the effort"
8/28/2016 18:47:01,"Java","between 10 and 20 years","I've experimented with OSGi in my spare time or used it in a private project","To be able to replace a jar file at runtime without restart, To intorduce and encourage good programming practices, To make my application extendable via plug-ins","OSGi is the only option! Nothing else adds the same value"
8/28/2016 18:47:53,"Java","between 10 and 20 years","I've been in a team building professional project using OSGi","To have multiple versions of the same jar file at runtime, As a dependency injection framework (like Spring), To make my application extendable via plug-ins","Spring (or another DI framework)"
8/28/2016 19:08:15,"Java","between 5 and 10 years","I've been in a team building professional project using OSGi","To build micoservices based solutions in Java","Java 9 with Jigsaw"
8/28/2016 19:15:27,"Java","between 10 and 20 years","I've experimented with OSGi in my spare time or used it in a private project","To be able to replace a jar file at runtime without restart, To make my application extendable via plug-ins","Nothing! The value OSGi adds is not worth the effort"
8/28/2016 19:17:56,"Java","between 5 and 10 years","I've been in a team building professional project using OSGi","To be able to replace a jar file at runtime without restart, To intorduce and encourage good programming practices, To make my application extendable via plug-ins","Java EE"
8/28/2016 19:18:01,"Java","between 10 and 20 years","I've heard people talking about OSGi but I don't know what it is","To make my application extendable via plug-ins, To be able to feely customize my application","OSGi is the only option! Nothing else adds the same value"
8/28/2016 19:38:26,"Java","over 20 years","I've experimented with OSGi in my spare time or used it in a private project","I would never use OSGi","Nothing! The value OSGi adds is not worth the effort"
8/28/2016 19:39:03,"Java","between 5 and 10 years","I've spent some time learning about OSGi","To have multiple versions of the same jar file at runtime, To be able to replace a jar file at runtime without restart, To make my application extendable via plug-ins","Nothing! The value OSGi adds is not worth the effort"
